log_id,customer_id,usedate
L00000049012420,GD537233,2018-04-01
L00000049012421,GD563129,2018-04-01
L00000049012422,GD574177,2018-04-01
L00000049012423,GD574867,2018-04-01
L00000049012424,GD574913,2018-04-01
L00000049012425,GD582469,2018-04-01
L00000049012426,GD620805,2018-04-01
L00000049012427,GD635509,2018-04-01
L00000049012428,GD648354,2018-04-01
L00000049012429,GD655061,2018-04-01
L00000049012430,GD676928,2018-04-01
L00000049012431,GD687670,2018-04-01
L00000049012432,GD701512,2018-04-01
L00000049012433,GD735013,2018-04-01
L00000049012434,GD762120,2018-04-01
L00000049012435,GD788407,2018-04-01
L00000049012436,GD796301,2018-04-01
L00000049012437,GD807714,2018-04-01
L00000049012438,GD809807,2018-04-01
L00000049012439,GD812702,2018-04-01
L00000049012440,GD825223,2018-04-01
L00000049012441,GD844529,2018-04-01
L00000049012442,GD859439,2018-04-01
L00000049012443,GD870808,2018-04-01
L00000049012444,GD903830,2018-04-01
L00000049012445,GD951332,2018-04-01
L00000049012446,GD975752,2018-04-01
L00000049012447,GD987989,2018-04-01
L00000049012448,HD003152,2018-04-01
L00000049012449,HD035838,2018-04-01
L00000049012450,HD055368,2018-04-01
L00000049012451,HD055792,2018-04-01
L00000049012452,HD068817,2018-04-01
L00000049012453,HD070115,2018-04-01
L00000049012454,HD121067,2018-04-01
L00000049012455,HD124235,2018-04-01
L00000049012456,HD126441,2018-04-01
L00000049012457,HD134597,2018-04-01
L00000049012458,HD148659,2018-04-01
L00000049012459,HD165212,2018-04-01
L00000049012460,HD167407,2018-04-01
L00000049012461,HD203527,2018-04-01
L00000049012462,HD206448,2018-04-01
L00000049012463,HD218552,2018-04-01
L00000049012464,HD244526,2018-04-01
L00000049012465,HD281795,2018-04-01
L00000049012466,HD287652,2018-04-01
L00000049012467,HD309501,2018-04-01
L00000049012468,HD314081,2018-04-01
L00000049012469,HD315748,2018-04-01
L00000049012470,HD320060,2018-04-01
L00000049012471,HD321813,2018-04-01
L00000049012472,HD344852,2018-04-01
L00000049012473,HD364928,2018-04-01
L00000049012474,HD364970,2018-04-01
L00000049012475,HD374247,2018-04-01
L00000049012476,HD376302,2018-04-01
L00000049012477,HD405727,2018-04-01
L00000049012478,HD410257,2018-04-01
L00000049012479,HD412914,2018-04-01
L00000049012480,HD430949,2018-04-01
L00000049012481,HD453390,2018-04-01
L00000049012482,HD456541,2018-04-01
L00000049012483,HD458438,2018-04-01
L00000049012484,HD459783,2018-04-01
L00000049012485,HD465982,2018-04-01
L00000049012486,HD471103,2018-04-01
L00000049012487,HD516059,2018-04-01
L00000049012488,HD537011,2018-04-01
L00000049012489,HD623640,2018-04-01
L00000049012490,HD631824,2018-04-01
L00000049012491,HD647688,2018-04-01
L00000049012492,HD651604,2018-04-01
L00000049012493,HD666936,2018-04-01
L00000049012494,HD671982,2018-04-01
L00000049012495,HD673900,2018-04-01
L00000049012496,HD685879,2018-04-01
L00000049012497,HD691675,2018-04-01
L00000049012498,HD719737,2018-04-01
L00000049012499,HD749546,2018-04-01
L00000049012500,HD759692,2018-04-01
L00000049012501,HD771279,2018-04-01
L00000049012502,HD777083,2018-04-01
L00000049012503,HD782984,2018-04-01
L00000049012504,HD802058,2018-04-01
L00000049012505,HD812799,2018-04-01
L00000049012506,HD837482,2018-04-01
L00000049012507,HD845666,2018-04-01
L00000049012508,HD848426,2018-04-01
L00000049012509,HD862369,2018-04-01
L00000049012510,HD864300,2018-04-01
L00000049012511,HD920211,2018-04-01
L00000049012512,HD921002,2018-04-01
L00000049012513,HD935075,2018-04-01
L00000049012514,HD957073,2018-04-01
L00000049012515,HD981821,2018-04-01
L00000049012516,HD981950,2018-04-01
L00000049012517,HD988129,2018-04-01
L00000049012518,HD995428,2018-04-01
L00000049012519,HI001877,2018-04-01
L00000049012520,HI014891,2018-04-01
L00000049012521,HI015767,2018-04-01
L00000049012522,HI047229,2018-04-01
L00000049012523,HI048967,2018-04-01
L00000049012524,HI056567,2018-04-01
L00000049012525,HI089467,2018-04-01
L00000049012526,HI098767,2018-04-01
L00000049012527,HI107999,2018-04-01
L00000049012528,HI142296,2018-04-01
L00000049012529,HI142388,2018-04-01
L00000049012530,HI145167,2018-04-01
L00000049012531,HI150416,2018-04-01
L00000049012532,HI150906,2018-04-01
L00000049012533,HI162012,2018-04-01
L00000049012534,HI174281,2018-04-01
L00000049012535,HI181798,2018-04-01
L00000049012536,HI184156,2018-04-01
L00000049012537,HI188968,2018-04-01
L00000049012538,HI201295,2018-04-01
L00000049012539,HI207536,2018-04-01
L00000049012540,HI207932,2018-04-01
L00000049012541,HI228454,2018-04-01
L00000049012542,HI238760,2018-04-01
L00000049012543,HI244067,2018-04-01
L00000049012544,HI263602,2018-04-01
L00000049012545,HI292376,2018-04-01
L00000049012546,HI322689,2018-04-01
L00000049012547,HI331484,2018-04-01
L00000049012548,HI338427,2018-04-01
L00000049012549,HI339146,2018-04-01
L00000049012550,HI355741,2018-04-01
L00000049012551,HI388582,2018-04-01
L00000049012552,HI390909,2018-04-01
L00000049012553,HI402432,2018-04-01
L00000049012554,HI403116,2018-04-01
L00000049012555,HI421707,2018-04-01
L00000049012556,HI429448,2018-04-01
L00000049012557,HI457483,2018-04-01
L00000049012558,HI486531,2018-04-01
L00000049012559,HI488123,2018-04-01
L00000049012560,HI488259,2018-04-01
L00000049012561,HI521002,2018-04-01
L00000049012562,HI551380,2018-04-01
L00000049012563,HI557617,2018-04-01
L00000049012564,HI573797,2018-04-01
L00000049012565,HI574446,2018-04-01
L00000049012566,HI580283,2018-04-01
L00000049012567,HI592803,2018-04-01
L00000049012568,HI607042,2018-04-01
L00000049012569,HI673538,2018-04-01
L00000049012570,HI720107,2018-04-01
L00000049012571,HI720757,2018-04-01
L00000049012572,HI728754,2018-04-01
L00000049012573,HI755073,2018-04-01
L00000049012574,HI764799,2018-04-01
L00000049012575,HI770890,2018-04-01
L00000049012576,HI798295,2018-04-01
L00000049012577,HI802716,2018-04-01
L00000049012578,HI821087,2018-04-01
L00000049012579,HI849593,2018-04-01
L00000049012580,HI864224,2018-04-01
L00000049012581,HI879414,2018-04-01
L00000049012582,HI914925,2018-04-01
L00000049012583,HI920533,2018-04-01
L00000049012584,HI934540,2018-04-01
L00000049012585,HI978590,2018-04-01
L00000049012586,HI984860,2018-04-01
L00000049012587,HI990855,2018-04-01
L00000049012588,IK004574,2018-04-01
L00000049012589,IK006139,2018-04-01
L00000049012590,IK007215,2018-04-01
L00000049012591,IK025556,2018-04-01
L00000049012592,IK027801,2018-04-01
L00000049012593,IK046372,2018-04-01
L00000049012594,IK077913,2018-04-01
L00000049012595,IK098074,2018-04-01
L00000049012596,IK102369,2018-04-01
L00000049012597,IK114480,2018-04-01
L00000049012598,IK120435,2018-04-01
L00000049012599,IK124414,2018-04-01
L00000049012600,IK142972,2018-04-01
L00000049012601,IK200910,2018-04-01
L00000049012602,IK206015,2018-04-01
L00000049012603,IK216492,2018-04-01
L00000049012604,IK250551,2018-04-01
L00000049012605,IK252166,2018-04-01
L00000049012606,IK269914,2018-04-01
L00000049012607,IK286995,2018-04-01
L00000049012608,IK292139,2018-04-01
L00000049012609,IK299294,2018-04-01
L00000049012610,IK331136,2018-04-01
L00000049012611,IK395179,2018-04-01
L00000049012612,IK433428,2018-04-01
L00000049012613,IK446361,2018-04-01
L00000049012614,IK461350,2018-04-01
L00000049012615,IK461411,2018-04-01
L00000049012616,IK478859,2018-04-01
L00000049012617,IK508589,2018-04-01
L00000049012618,IK511263,2018-04-01
L00000049012619,IK516841,2018-04-01
L00000049012620,IK559596,2018-04-01
L00000049012621,IK560712,2018-04-01
L00000049012622,IK571566,2018-04-01
L00000049012623,IK572153,2018-04-01
L00000049012624,IK574425,2018-04-01
L00000049012625,IK582567,2018-04-01
L00000049012626,IK612587,2018-04-01
L00000049012627,IK614204,2018-04-01
L00000049012628,IK624416,2018-04-01
L00000049012629,IK661529,2018-04-01
L00000049012630,IK669065,2018-04-01
L00000049012631,IK699513,2018-04-01
L00000049012632,IK753356,2018-04-01
L00000049012633,IK770101,2018-04-01
L00000049012634,IK791659,2018-04-01
L00000049012635,IK807110,2018-04-01
L00000049012636,IK809167,2018-04-01
L00000049012637,IK822921,2018-04-01
L00000049012638,IK844882,2018-04-01
L00000049012639,IK871961,2018-04-01
L00000049012640,IK874433,2018-04-01
L00000049012641,IK880102,2018-04-01
L00000049012642,IK881709,2018-04-01
L00000049012643,IK888697,2018-04-01
L00000049012644,IK907604,2018-04-01
L00000049012645,IK927405,2018-04-01
L00000049012646,IK931165,2018-04-01
L00000049012647,IK938859,2018-04-01
L00000049012648,IK979398,2018-04-01
L00000049012649,IK983460,2018-04-01
L00000049012650,IK988102,2018-04-01
L00000049012651,IK990829,2018-04-01
L00000049012652,IK998240,2018-04-01
L00000049012653,IK999111,2018-04-01
L00000049012654,OA007004,2018-04-01
L00000049012655,OA016045,2018-04-01
L00000049012656,OA038299,2018-04-01
L00000049012657,OA041099,2018-04-01
L00000049012658,OA046054,2018-04-01
L00000049012659,OA052852,2018-04-01
L00000049012660,OA067269,2018-04-01
L00000049012661,OA076062,2018-04-01
L00000049012662,OA078433,2018-04-01
L00000049012663,OA115840,2018-04-01
L00000049012664,OA116423,2018-04-01
L00000049012665,OA144483,2018-04-01
L00000049012666,OA210660,2018-04-01
L00000049012667,OA241119,2018-04-01
L00000049012668,OA261861,2018-04-01
L00000049012669,OA263631,2018-04-01
L00000049012670,OA270348,2018-04-01
L00000049012671,OA281070,2018-04-01
L00000049012672,OA358651,2018-04-01
L00000049012673,OA372777,2018-04-01
L00000049012674,OA377888,2018-04-01
L00000049012675,OA388010,2018-04-01
L00000049012676,OA388131,2018-04-01
L00000049012677,OA393462,2018-04-01
L00000049012678,OA396265,2018-04-01
L00000049012679,OA396508,2018-04-01
L00000049012680,OA422514,2018-04-01
L00000049012681,OA423930,2018-04-01
L00000049012682,OA440389,2018-04-01
L00000049012683,OA443238,2018-04-01
L00000049012684,OA462037,2018-04-01
L00000049012685,OA478509,2018-04-01
L00000049012686,OA510985,2018-04-01
L00000049012687,OA535401,2018-04-01
L00000049012688,OA536894,2018-04-01
L00000049012689,OA545809,2018-04-01
L00000049012690,OA570624,2018-04-01
L00000049012691,OA602923,2018-04-01
L00000049012692,OA630902,2018-04-01
L00000049012693,OA655348,2018-04-01
L00000049012694,OA661244,2018-04-01
L00000049012695,OA673896,2018-04-01
L00000049012696,OA676083,2018-04-01
L00000049012697,OA701687,2018-04-01
L00000049012698,OA702752,2018-04-01
L00000049012699,OA758157,2018-04-01
L00000049012700,OA764380,2018-04-01
L00000049012701,OA781562,2018-04-01
L00000049012702,OA782311,2018-04-01
L00000049012703,OA785110,2018-04-01
L00000049012704,OA789036,2018-04-01
L00000049012705,OA805868,2018-04-01
L00000049012706,OA829372,2018-04-01
L00000049012707,OA840257,2018-04-01
L00000049012708,OA842166,2018-04-01
L00000049012709,OA844565,2018-04-01
L00000049012710,OA876184,2018-04-01
L00000049012711,OA923215,2018-04-01
L00000049012712,OA953933,2018-04-01
L00000049012713,OA955085,2018-04-01
L00000049012714,OA965409,2018-04-01
L00000049012715,OA967616,2018-04-01
L00000049012716,OA969891,2018-04-01
L00000049012717,OA994859,2018-04-01
L00000049012718,OA996311,2018-04-01
L00000049012719,OA998167,2018-04-01
L00000049012720,PL001979,2018-04-01
L00000049012721,PL012521,2018-04-01
L00000049012722,PL023264,2018-04-01
L00000049012723,PL043142,2018-04-01
L00000049012724,PL043513,2018-04-01
L00000049012725,PL077120,2018-04-01
L00000049012726,PL082485,2018-04-01
L00000049012727,PL089782,2018-04-01
L00000049012728,PL101549,2018-04-01
L00000049012729,PL103369,2018-04-01
L00000049012730,PL111345,2018-04-01
L00000049012731,PL136126,2018-04-01
L00000049012732,PL147335,2018-04-01
L00000049012733,PL181118,2018-04-01
L00000049012734,PL191690,2018-04-01
L00000049012735,PL217190,2018-04-01
L00000049012736,PL228159,2018-04-01
L00000049012737,PL229628,2018-04-01
L00000049012738,PL287258,2018-04-01
L00000049012739,PL325020,2018-04-01
L00000049012740,PL331522,2018-04-01
L00000049012741,PL351450,2018-04-01
L00000049012742,PL352661,2018-04-01
L00000049012743,PL356645,2018-04-01
L00000049012744,PL360369,2018-04-01
L00000049012745,PL361492,2018-04-01
L00000049012746,PL407221,2018-04-01
L00000049012747,PL443639,2018-04-01
L00000049012748,PL458124,2018-04-01
L00000049012749,PL471805,2018-04-01
L00000049012750,PL474958,2018-04-01
L00000049012751,PL499733,2018-04-01
L00000049012752,PL504040,2018-04-01
L00000049012753,PL512535,2018-04-01
L00000049012754,PL527945,2018-04-01
L00000049012755,PL538517,2018-04-01
L00000049012756,PL549629,2018-04-01
L00000049012757,PL570199,2018-04-01
L00000049012758,PL571624,2018-04-01
L00000049012759,PL573375,2018-04-01
L00000049012760,PL576453,2018-04-01
L00000049012761,PL587969,2018-04-01
L00000049012762,PL622205,2018-04-01
L00000049012763,PL648343,2018-04-01
L00000049012764,PL649133,2018-04-01
L00000049012765,PL666665,2018-04-01
L00000049012766,PL705609,2018-04-01
L00000049012767,PL709791,2018-04-01
L00000049012768,PL746115,2018-04-01
L00000049012769,PL753720,2018-04-01
L00000049012770,PL798417,2018-04-01
L00000049012771,PL861755,2018-04-01
L00000049012772,PL863680,2018-04-01
L00000049012773,PL865030,2018-04-01
L00000049012774,PL893427,2018-04-01
L00000049012775,PL901751,2018-04-01
L00000049012776,PL918865,2018-04-01
L00000049012777,PL923434,2018-04-01
L00000049012778,PL929818,2018-04-01
L00000049012779,PL964421,2018-04-01
L00000049012780,PL982189,2018-04-01
L00000049012781,PL987832,2018-04-01
L00000049012782,TS028665,2018-04-01
L00000049012783,TS044469,2018-04-01
L00000049012784,TS051818,2018-04-01
L00000049012785,TS052320,2018-04-01
L00000049012786,TS059971,2018-04-01
L00000049012787,TS068752,2018-04-01
L00000049012788,TS093380,2018-04-01
L00000049012789,TS094676,2018-04-01
L00000049012790,TS105753,2018-04-01
L00000049012791,TS124443,2018-04-01
L00000049012792,TS133757,2018-04-01
L00000049012793,TS138606,2018-04-01
L00000049012794,TS150659,2018-04-01
L00000049012795,TS189978,2018-04-01
L00000049012796,TS228066,2018-04-01
L00000049012797,TS230934,2018-04-01
L00000049012798,TS231098,2018-04-01
L00000049012799,TS246098,2018-04-01
L00000049012800,TS324893,2018-04-01
L00000049012801,TS327886,2018-04-01
L00000049012802,TS333555,2018-04-01
L00000049012803,TS333942,2018-04-01
L00000049012804,TS351797,2018-04-01
L00000049012805,TS365322,2018-04-01
L00000049012806,TS369665,2018-04-01
L00000049012807,TS413023,2018-04-01
L00000049012808,TS428494,2018-04-01
L00000049012809,TS461809,2018-04-01
L00000049012810,TS470645,2018-04-01
L00000049012811,TS476049,2018-04-01
L00000049012812,TS477224,2018-04-01
L00000049012813,TS509743,2018-04-01
L00000049012814,TS515377,2018-04-01
L00000049012815,TS536483,2018-04-01
L00000049012816,TS541856,2018-04-01
L00000049012817,TS558026,2018-04-01
L00000049012818,TS578065,2018-04-01
L00000049012819,TS637747,2018-04-01
L00000049012820,TS645212,2018-04-01
L00000049012821,TS702807,2018-04-01
L00000049012822,TS714045,2018-04-01
L00000049012823,TS718154,2018-04-01
L00000049012824,TS784450,2018-04-01
L00000049012825,TS806267,2018-04-01
L00000049012826,TS832330,2018-04-01
L00000049012827,TS853020,2018-04-01
L00000049012828,TS877962,2018-04-01
L00000049012829,TS883038,2018-04-01
L00000049012830,TS885968,2018-04-01
L00000049012831,TS922944,2018-04-01
L00000049012832,TS938383,2018-04-01
L00000049012833,TS952924,2018-04-01
L00000049012834,TS999079,2018-04-01
L00000049012835,AS009013,2018-04-02
L00000049012836,AS015739,2018-04-02
L00000049012837,AS019860,2018-04-02
L00000049012838,AS038564,2018-04-02
L00000049012839,AS047907,2018-04-02
L00000049012840,AS082596,2018-04-02
L00000049012841,AS092144,2018-04-02
L00000049012842,AS136184,2018-04-02
L00000049012843,AS169823,2018-04-02
L00000049012844,AS183155,2018-04-02
L00000049012845,AS211705,2018-04-02
L00000049012846,AS222240,2018-04-02
L00000049012847,AS237205,2018-04-02
L00000049012848,AS240586,2018-04-02
L00000049012849,AS272193,2018-04-02
L00000049012850,AS273414,2018-04-02
L00000049012851,AS275287,2018-04-02
L00000049012852,AS311628,2018-04-02
L00000049012853,AS319907,2018-04-02
L00000049012854,AS345508,2018-04-02
L00000049012855,AS356812,2018-04-02
L00000049012856,AS365290,2018-04-02
L00000049012857,AS369194,2018-04-02
L00000049012858,AS374280,2018-04-02
L00000049012859,AS390441,2018-04-02
L00000049012860,AS394423,2018-04-02
L00000049012861,AS404195,2018-04-02
L00000049012862,AS404579,2018-04-02
L00000049012863,AS430563,2018-04-02
L00000049012864,AS476267,2018-04-02
L00000049012865,AS488509,2018-04-02
L00000049012866,AS491747,2018-04-02
L00000049012867,AS494168,2018-04-02
L00000049012868,AS499352,2018-04-02
L00000049012869,AS516140,2018-04-02
L00000049012870,AS550302,2018-04-02
L00000049012871,AS554975,2018-04-02
L00000049012872,AS563124,2018-04-02
L00000049012873,AS569518,2018-04-02
L00000049012874,AS589687,2018-04-02
L00000049012875,AS594062,2018-04-02
L00000049012876,AS627304,2018-04-02
L00000049012877,AS642796,2018-04-02
L00000049012878,AS660812,2018-04-02
L00000049012879,AS662285,2018-04-02
L00000049012880,AS677821,2018-04-02
L00000049012881,AS679641,2018-04-02
L00000049012882,AS699883,2018-04-02
L00000049012883,AS726272,2018-04-02
L00000049012884,AS736672,2018-04-02
L00000049012885,AS744154,2018-04-02
L00000049012886,AS756169,2018-04-02
L00000049012887,AS779956,2018-04-02
L00000049012888,AS786819,2018-04-02
L00000049012889,AS800531,2018-04-02
L00000049012890,AS840069,2018-04-02
L00000049012891,AS844339,2018-04-02
L00000049012892,AS860362,2018-04-02
L00000049012893,AS866446,2018-04-02
L00000049012894,AS868124,2018-04-02
L00000049012895,AS914290,2018-04-02
L00000049012896,AS926099,2018-04-02
L00000049012897,AS928923,2018-04-02
L00000049012898,AS929514,2018-04-02
L00000049012899,AS963520,2018-04-02
L00000049012900,AS970810,2018-04-02
L00000049012901,AS980426,2018-04-02
L00000049012902,AS981537,2018-04-02
L00000049012903,AS988921,2018-04-02
L00000049012904,AS992895,2018-04-02
L00000049012905,GD012037,2018-04-02
L00000049012906,GD024299,2018-04-02
L00000049012907,GD067591,2018-04-02
L00000049012908,GD080608,2018-04-02
L00000049012909,GD085038,2018-04-02
L00000049012910,GD115359,2018-04-02
L00000049012911,GD163914,2018-04-02
L00000049012912,GD172600,2018-04-02
L00000049012913,GD198467,2018-04-02
L00000049012914,GD230002,2018-04-02
L00000049012915,GD257285,2018-04-02
L00000049012916,GD364043,2018-04-02
L00000049012917,GD376049,2018-04-02
L00000049012918,GD401728,2018-04-02
L00000049012919,GD418230,2018-04-02
L00000049012920,GD459648,2018-04-02
L00000049012921,GD477802,2018-04-02
L00000049012922,GD537233,2018-04-02
L00000049012923,GD574177,2018-04-02
L00000049012924,GD598089,2018-04-02
L00000049012925,GD600460,2018-04-02
L00000049012926,GD619319,2018-04-02
L00000049012927,GD622254,2018-04-02
L00000049012928,GD624477,2018-04-02
L00000049012929,GD628310,2018-04-02
L00000049012930,GD635322,2018-04-02
L00000049012931,GD670693,2018-04-02
L00000049012932,GD687485,2018-04-02
L00000049012933,GD699826,2018-04-02
L00000049012934,GD719026,2018-04-02
L00000049012935,GD741058,2018-04-02
L00000049012936,GD761011,2018-04-02
L00000049012937,GD784657,2018-04-02
L00000049012938,GD796301,2018-04-02
L00000049012939,GD806895,2018-04-02
L00000049012940,GD886475,2018-04-02
L00000049012941,GD887148,2018-04-02
L00000049012942,GD908843,2018-04-02
L00000049012943,GD934041,2018-04-02
L00000049012944,GD946202,2018-04-02
L00000049012945,GD947493,2018-04-02
L00000049012946,GD951332,2018-04-02
L00000049012947,GD960674,2018-04-02
L00000049012948,GD964685,2018-04-02
L00000049012949,GD979485,2018-04-02
L00000049012950,HD035838,2018-04-02
L00000049012951,HD044319,2018-04-02
L00000049012952,HD052466,2018-04-02
L00000049012953,HD053694,2018-04-02
L00000049012954,HD079011,2018-04-02
L00000049012955,HD084175,2018-04-02
L00000049012956,HD095957,2018-04-02
L00000049012957,HD134052,2018-04-02
L00000049012958,HD156305,2018-04-02
L00000049012959,HD167407,2018-04-02
L00000049012960,HD184011,2018-04-02
L00000049012961,HD194702,2018-04-02
L00000049012962,HD203527,2018-04-02
L00000049012963,HD210141,2018-04-02
L00000049012964,HD244526,2018-04-02
L00000049012965,HD277392,2018-04-02
L00000049012966,HD298120,2018-04-02
L00000049012967,HD319220,2018-04-02
L00000049012968,HD321275,2018-04-02
L00000049012969,HD333051,2018-04-02
L00000049012970,HD333544,2018-04-02
L00000049012971,HD335580,2018-04-02
L00000049012972,HD361714,2018-04-02
L00000049012973,HD364970,2018-04-02
L00000049012974,HD378274,2018-04-02
L00000049012975,HD403941,2018-04-02
L00000049012976,HD408536,2018-04-02
L00000049012977,HD457136,2018-04-02
L00000049012978,HD460027,2018-04-02
L00000049012979,HD467920,2018-04-02
L00000049012980,HD471103,2018-04-02
L00000049012981,HD476406,2018-04-02
L00000049012982,HD478215,2018-04-02
L00000049012983,HD487976,2018-04-02
L00000049012984,HD498491,2018-04-02
L00000049012985,HD508159,2018-04-02
L00000049012986,HD528660,2018-04-02
L00000049012987,HD541285,2018-04-02
L00000049012988,HD557689,2018-04-02
L00000049012989,HD559223,2018-04-02
L00000049012990,HD572934,2018-04-02
L00000049012991,HD576900,2018-04-02
L00000049012992,HD595882,2018-04-02
L00000049012993,HD600586,2018-04-02
L00000049012994,HD618344,2018-04-02
L00000049012995,HD624279,2018-04-02
L00000049012996,HD625038,2018-04-02
L00000049012997,HD634356,2018-04-02
L00000049012998,HD640143,2018-04-02
L00000049012999,HD666225,2018-04-02
L00000049013000,HD710658,2018-04-02
L00000049013001,HD712372,2018-04-02
L00000049013002,HD722558,2018-04-02
L00000049013003,HD727632,2018-04-02
L00000049013004,HD739338,2018-04-02
L00000049013005,HD744684,2018-04-02
L00000049013006,HD765436,2018-04-02
L00000049013007,HD772140,2018-04-02
L00000049013008,HD778015,2018-04-02
L00000049013009,HD826767,2018-04-02
L00000049013010,HD834387,2018-04-02
L00000049013011,HD849426,2018-04-02
L00000049013012,HD914078,2018-04-02
L00000049013013,HD925731,2018-04-02
L00000049013014,HD952315,2018-04-02
L00000049013015,HD957429,2018-04-02
L00000049013016,HD973885,2018-04-02
L00000049013017,HD981504,2018-04-02
L00000049013018,HD984838,2018-04-02
L00000049013019,HI015767,2018-04-02
L00000049013020,HI048967,2018-04-02
L00000049013021,HI060044,2018-04-02
L00000049013022,HI069246,2018-04-02
L00000049013023,HI072340,2018-04-02
L00000049013024,HI088451,2018-04-02
L00000049013025,HI100579,2018-04-02
L00000049013026,HI101829,2018-04-02
L00000049013027,HI106422,2018-04-02
L00000049013028,HI108402,2018-04-02
L00000049013029,HI121657,2018-04-02
L00000049013030,HI151334,2018-04-02
L00000049013031,HI155985,2018-04-02
L00000049013032,HI162012,2018-04-02
L00000049013033,HI169357,2018-04-02
L00000049013034,HI174281,2018-04-02
L00000049013035,HI183239,2018-04-02
L00000049013036,HI216184,2018-04-02
L00000049013037,HI227285,2018-04-02
L00000049013038,HI245995,2018-04-02
L00000049013039,HI246920,2018-04-02
L00000049013040,HI247770,2018-04-02
L00000049013041,HI263602,2018-04-02
L00000049013042,HI273985,2018-04-02
L00000049013043,HI297129,2018-04-02
L00000049013044,HI331484,2018-04-02
L00000049013045,HI352145,2018-04-02
L00000049013046,HI360754,2018-04-02
L00000049013047,HI376364,2018-04-02
L00000049013048,HI383326,2018-04-02
L00000049013049,HI392766,2018-04-02
L00000049013050,HI393943,2018-04-02
L00000049013051,HI403116,2018-04-02
L00000049013052,HI405294,2018-04-02
L00000049013053,HI405733,2018-04-02
L00000049013054,HI431223,2018-04-02
L00000049013055,HI441426,2018-04-02
L00000049013056,HI443421,2018-04-02
L00000049013057,HI466749,2018-04-02
L00000049013058,HI481405,2018-04-02
L00000049013059,HI525283,2018-04-02
L00000049013060,HI525851,2018-04-02
L00000049013061,HI551380,2018-04-02
L00000049013062,HI584203,2018-04-02
L00000049013063,HI630523,2018-04-02
L00000049013064,HI636994,2018-04-02
